"index","country_code","country","continent"
"0","AFG","Afghanistan","Asia"
"1","AGO","Angola","Africa"
"2","ALB","Albania","Europe"
"3","AND","Andorra","Europe"
"4","ARE","United Arab Emirates","Asia"
"5","ARG","Argentina","South America"
"6","ARM","Armenia","Asia"
"7","ATG","Antigua and Barbuda","North America"
"8","AUS","Australia","Oceania"
"9","AUT","Austria","Europe"
"10","AZE","Azerbaijan","Asia"
"11","BDI","Burundi","Africa"
"12","BEL","Belgium","Europe"
"13","BEN","Benin","Africa"
"14","BFA","Burkina Faso","Africa"
"15","BGD","Bangladesh","Asia"
"16","BGR","Bulgaria","Europe"
"17","BHR","Bahrain","Asia"
"18","BHS","Bahamas","North America"
"19","BIH","Bosnia and Herzegovina","Europe"
"20","BLR","Belarus","Europe"
"21","BLZ","Belize","North America"
"22","BOL","Bolivia, Plurinational State of","South America"
"23","BRA","Brazil","South America"
"24","BRB","Barbados","North America"
"25","BRN","Brunei Darussalam","Asia"
"26","BTN","Bhutan","Asia"
"27","BWA","Botswana","Africa"
"28","CAF","Central African Republic","Africa"
"29","CAN","Canada","North America"
"30","CHE","Switzerland","Europe"
"31","CHL","Chile","South America"
"32","CHN","China","Asia"
"33","CIV","Côte d'Ivoire","Africa"
"34","CMR","Cameroon","Africa"
"35","COD","Congo, The Democratic Republic of the","Africa"
"36","COG","Congo","Africa"
"37","COL","Colombia","South America"
"38","COM","Comoros","Africa"
"39","CPV","Cabo Verde","Africa"
"40","CRI","Costa Rica","North America"
"41","CUB","Cuba","North America"
"42","CYP","Cyprus","Europe"
"43","CZE","Czechia","Europe"
"44","DEU","Germany","Europe"
"45","DJI","Djibouti","Africa"
"46","DMA","Dominica","North America"
"47","DNK","Denmark","Europe"
"48","DOM","Dominican Republic","North America"
"49","DZA","Algeria","Africa"
"50","ECU","Ecuador","South America"
"51","EGY","Egypt","Africa"
"52","ERI","Eritrea","Africa"
"53","ESP","Spain","Europe"
"54","EST","Estonia","Europe"
"55","ETH","Ethiopia","Africa"
"56","FIN","Finland","Europe"
"57","FJI","Fiji","Oceania"
"58","FRA","France","Europe"
"59","FSM","Micronesia, Federated States of","Oceania"
"60","GAB","Gabon","Africa"
"61","GBR","United Kingdom","Europe"
"62","GEO","Georgia","Asia"
"63","GHA","Ghana","Africa"
"64","GIN","Guinea","Africa"
"65","GMB","Gambia","Africa"
"66","GNB","Guinea-Bissau","Africa"
"67","GNQ","Equatorial Guinea","Africa"
"68","GRC","Greece","Europe"
"69","GRD","Grenada","North America"
"70","GTM","Guatemala","North America"
"71","GUY","Guyana","South America"
"72","HND","Honduras","North America"
"73","HRV","Croatia","Europe"
"74","HTI","Haiti","North America"
"75","HUN","Hungary","Europe"
"76","IDN","Indonesia","Asia"
"77","IND","India","Asia"
"78","IRL","Ireland","Europe"
"79","IRN","Iran, Islamic Republic of","Asia"
"80","IRQ","Iraq","Asia"
"81","ISL","Iceland","Europe"
"82","ISR","Israel","Asia"
"83","ITA","Italy","Europe"
"84","JAM","Jamaica","North America"
"85","JOR","Jordan","Asia"
"86","JPN","Japan","Asia"
"87","KAZ","Kazakhstan","Asia"
"88","KEN","Kenya","Africa"
"89","KGZ","Kyrgyzstan","Asia"
"90","KHM","Cambodia","Asia"
"91","KIR","Kiribati","Oceania"
"92","KNA","Saint Kitts and Nevis","North America"
"93","KOR","Korea, Republic of","Asia"
"94","KWT","Kuwait","Asia"
"95","LAO","Lao People's Democratic Republic","Asia"
"96","LBN","Lebanon","Asia"
"97","LBR","Liberia","Africa"
"98","LBY","Libya","Africa"
"99","LCA","Saint Lucia","North America"
"100","LIE","Liechtenstein","Europe"
"101","LKA","Sri Lanka","Asia"
"102","LSO","Lesotho","Africa"
"103","LTU","Lithuania","Europe"
"104","LUX","Luxembourg","Europe"
"105","LVA","Latvia","Europe"
"106","MAR","Morocco","Africa"
"107","MCO","Monaco","Europe"
"108","MDA","Moldova, Republic of","Europe"
"109","MDG","Madagascar","Africa"
"110","MDV","Maldives","Asia"
"111","MEX","Mexico","North America"
"112","MHL","Marshall Islands","Oceania"
"113","MKD","North Macedonia","Europe"
"114","MLI","Mali","Africa"
"115","MLT","Malta","Europe"
"116","MMR","Myanmar","Asia"
"117","MNE","Montenegro","Europe"
"118","MNG","Mongolia","Asia"
"119","MOZ","Mozambique","Africa"
"120","MRT","Mauritania","Africa"
"121","MUS","Mauritius","Africa"
"122","MWI","Malawi","Africa"
"123","MYS","Malaysia","Asia"
"124","NAM","Namibia","Africa"
"125","NER","Niger","Africa"
"126","NGA","Nigeria","Africa"
"127","NIC","Nicaragua","North America"
"128","NLD","Netherlands","Europe"
"129","NOR","Norway","Europe"
"130","NPL","Nepal","Asia"
"131","NRU","Nauru","Oceania"
"132","NZL","New Zealand","Oceania"
"133","OMN","Oman","Asia"
"134","PAK","Pakistan","Asia"
"135","PAN","Panama","North America"
"136","PER","Peru","South America"
"137","PHL","Philippines","Asia"
"138","PLW","Palau","Oceania"
"139","PNG","Papua New Guinea","Oceania"
"140","POL","Poland","Europe"
"141","PRK","Korea, Democratic People's Republic of","Asia"
"142","PRT","Portugal","Europe"
"143","PRY","Paraguay","South America"
"144","PSE","Palestine, State of","Asia"
"145","QAT","Qatar","Asia"
"146","ROU","Romania","Europe"
"147","RUS","Russian Federation","Europe"
"148","RWA","Rwanda","Africa"
"149","SAU","Saudi Arabia","Asia"
"150","SDN","Sudan","Africa"
"151","SEN","Senegal","Africa"
"152","SGP","Singapore","Asia"
"153","SLB","Solomon Islands","Oceania"
"154","SLE","Sierra Leone","Africa"
"155","SLV","El Salvador","North America"
"156","SOM","Somalia","Africa"
"157","SRB","Serbia","Europe"
"158","SSD","South Sudan","Africa"
"159","STP","Sao Tome and Principe","Africa"
"160","SUR","Suriname","South America"
"161","SVK","Slovakia","Europe"
"162","SVN","Slovenia","Europe"
"163","SWE","Sweden","Europe"
"164","SWZ","Eswatini","Africa"
"165","SYC","Seychelles","Asia"
"166","SYR","Syrian Arab Republic","Asia"
"167","TCD","Chad","Africa"
"168","TGO","Togo","Africa"
"169","THA","Thailand","Asia"
"170","TJK","Tajikistan","Asia"
"171","TKM","Turkmenistan","Asia"
"172","TLS","Timor-Leste","Asia"
"173","TON","Tonga","Oceania"
"174","TTO","Trinidad and Tobago","North America"
"175","TUN","Tunisia","Africa"
"176","TUR","Turkey","Asia"
"177","TUV","Tuvalu","Oceania"
"178","TWN","Taiwan, Province of China","Asia"
"179","TZA","Tanzania, United Republic of","Africa"
"180","UGA","Uganda","Africa"
"181","UKR","Ukraine","Europe"
"182","URY","Uruguay","South America"
"183","USA","United States","North America"
"184","UZB","Uzbekistan","Asia"
"185","VCT","Saint Vincent and the Grenadines","North America"
"186","VEN","Venezuela, Bolivarian Republic of","South America"
"187","VNM","Viet Nam","Asia"
"188","VUT","Vanuatu","Oceania"
"189","WSM","Samoa","Oceania"
"190","YEM","Yemen","Asia"
"191","ZAF","South Africa","Africa"
"192","ZMB","Zambia","Africa"
"193","ZWE","Zimbabwe","Africa"
"194","XK","Kosovo","Europe"
